"bom","requirement_doc","block","item","manufacturer","part_number","description","qty","qty_basis","selection_status","notes","official_url"
"pdu","docs/pdu/requirements.md","Battery Input","Hot-swap and protection controller","Infineon","XDP711-001","Hot-swap, input protection, PMBus telemetry controller for battery input","2","per PDU","selected","Battery A and Battery B each use one controller","https://www.infineon.com/part/XDP711-001"
"pdu","docs/pdu/requirements.md","Battery Input","Linear FET for hot-swap path","Infineon","ISC035N10NM5LF2","100V Linear FET for hot-swap, battery protection, and eFuse paths","4 to 8","per PDU","tentative","Back-to-back structure and parallel count depend on final current and SOA","https://www.infineon.com/part/ISC035N10NM5LF2"
"pdu","docs/pdu/requirements.md","Main DC/DC","Digital power controller","Infineon","XDPP1188-200C","Digital power controller for foot 24V to 36V-class output and arm 24V rail generation and telemetry","2","per PDU","needs review","Foot output voltage is not fixed; arm remains 24V. Revalidate after battery combining method and output voltage are fixed","https://www.infineon.com/part/XDPP1188-200C"
"pdu","docs/pdu/requirements.md","Main DC/DC","Gate driver","Infineon","1EDN7116G","Single-channel gate driver for main DC/DC power stage","4 to 8","per PDU","tentative","Two main DC/DC rails; quantity depends on topology and number of phases/switches","https://www.infineon.com/part/1EDN7116G"
"pdu","docs/pdu/requirements.md","Main DC/DC","Power MOSFET","Infineon","ISC022N10NM6","100V OptiMOS power MOSFET for main DC/DC stage","8 to 32","per PDU","needs review","Two main DC/DC rails; quantity and voltage rating depend on topology, battery combining method, phase count, and paralleling","https://www.infineon.com/part/ISC022N10NM6"
"pdu","docs/pdu/requirements.md","Foot Output","Smart high-side switch","Infineon","BTH50015-1LUA","Power PROFET+ 24/48V smart high-side switch with diagnosis and current sense","1","per PDU","tentative","Used as provisional 40A-class foot drive output switch; thermal validation required","https://www.infineon.com/part/BTH50015-1LUA"
"pdu","docs/pdu/requirements.md","Arm Output","Smart high-side switch","Infineon","BTH50030-1LUA","Power PROFET+ 24/48V smart high-side switch with diagnosis and current sense","1","per PDU","needs replacement","Old low-current provisional arm output switch; initial arm estimate is 30A continuous, 60A 10s peak, 90A 100ms peak, so reselect BTH50015-class, parallel, or external-FET eFuse solution","https://www.infineon.com/part/BTH50030-1LUA"
"pdu","docs/pdu/requirements.md","Housekeeping","Safety PMIC","Infineon","TLF35584QKVS2","Multiple-output PMIC for 3.3V MCU supply, transceivers, watchdog, and reset monitoring","1","per PDU","selected","XBee may need a separate 3.3V regulator depending on current","https://www.infineon.com/part/TLF35584QKVS2"
"pdu","docs/pdu/requirements.md","Control","MCU","STMicroelectronics","STM32G474RET6","STM32G4 MCU candidate for telemetry, state machine, ADC, UART, and CAN control","1","per PDU","tentative","Exact STM32 package can change with IO count and layout","https://www.st.com/en/microcontrollers-microprocessors/stm32g474re.html"
"pdu","docs/pdu/requirements.md","CAN","CAN FD SIC transceiver","Infineon","TLE9371VSJ","CAN FD SIC transceiver usable for initial CAN 1Mbps and future CAN FD expansion","1","per PDU","selected","Use with CAN termination, TVS, and connector defined in board spec","https://www.infineon.com/part/TLE9371VSJ"
"pdu","docs/pdu/requirements.md","Telemetry","High-range current sensor","Infineon","TLE4973-A075T5-S0001","5V coreless current sensor with +/-82A range, analog output, overcurrent output, and diagnostics","0 to 3","per PDU","optional","For Battery A/B and foot output independent current logging if internal diagnostics are insufficient","https://www.infineon.com/part/TLE4973-A075T5-S0001"
"pdu","docs/pdu/requirements.md","Telemetry","Medium-range current sensor","Infineon","TLE4973-A025T5-S0001","5V coreless current sensor for lower-current arm output measurement","0 to 1","per PDU","not preferred","Initial arm estimate exceeds the medium range; keep only if later current limiting lowers the arm output requirement","https://www.infineon.com/part/TLE4973-A025T5-S0001"
"pdu","docs/pdu/requirements.md","Wireless","XBee radio module","Digi","TBD_XBEE_MODULE","XBee module for initial remote ON/OFF and telemetry path","1","per PDU","TBD","Exact XBee variant and antenna depend on existing rover radio design",""
"pdu","docs/pdu/requirements.md","Protection","Input fuse","TBD","TBD_INPUT_FUSE","Physical fuse or equivalent protection near each battery input","2","per PDU","TBD","Rating depends on final battery and load current",""
"pdu","docs/pdu/requirements.md","CAN","CAN termination and protection set","TBD","TBD_CAN_PROTECTION_SET","120 ohm termination option, TVS, common-mode choke, connector, and passives","1 set","per PDU","TBD","Finalize with rover CAN wiring and shield policy",""
"pdu","docs/pdu/requirements.md","Power Passives","Bulk capacitors and sense passives","TBD","TBD_PDU_PASSIVE_SET","Bulk capacitors, voltage dividers, sense filters, gate resistors, and pull resistors","1 set","per PDU","TBD","Values depend on final two-rail DC/DC topology and layout",""
